0,0
1,0
2,0
3,0
5,0
8,0
11,0
12,0
18,0
32,0
5,1
10,1
13,1
17,1
25,1
38,1
0,2
1,2
5,2
27,2
8,4
10,4
35,4
6,5
11,5
26,5
37,5
12,7
10,11
8,27
0,25
17,25
5,19
15,21
5,44
0,37
32,49
10,55
17,103
13,104
2,86
15,86
25,86
10,93
13,96
2,82
8,82
10,82
15,82
16,82
8,81
5,80
33,80
7,79
13,72
32,71
51,0
43,1
43,3
52,4
48,4
45,4
47,5
46,5
42,5
48,11
43,11
51,27
48,27
53,26
48,25
45,25
46,23
43,19
47,21
46,51
45,86
47,69
10,107
30,107
5,110
30,125
32,113
32,137
0,173
10,173
5,175
35,189
0,188
0,187
30,181
48,181
0,169
13,166
8,152
32,155
0,149
40,148
8,142
40,142
8,146
93,0
83,0
77,0
73,0
81,1
78,1
73,1
75,2
73,2
70,2
93,3
82,3
75,3
73,3
93,4
91,4
82,4
78,4
93,5
90,5
77,5
72,5
78,9
91,8
77,7
76,7
93,13
76,13
93,27
92,26
75,26
73,26
78,25
75,25
73,25
75,24
70,24
76,23
72,23
73,19
78,17
76,15
73,45
75,30
78,31
75,32
93,33
77,35
78,39
76,41
77,49
76,51
78,103
93,85
78,85
75,86
73,86
75,87
73,87
70,87
78,95
93,83
75,81
93,79
72,79
55,0
65,0
68,0
63,1
55,2
63,2
65,2
60,9
62,13
60,26
65,25
56,24
68,24
66,23
60,17
62,15
63,31
61,35
63,104
60,85
68,86
63,87
60,95
63,81
65,81
93,125
70,123
63,106
68,122
60,115
93,133
68,134
93,131
91,172
78,175
75,189
93,187
76,187
68,152
93,149
93,143

fold along x=54
fold along y=138
fold along y=129
fold along y=126
fold along y=105
fold along x=39
fold along y=56
fold along y=46
fold along y=28
fold along y=14
fold along y=10
fold along y=6
